track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Superstar,Lupe Fiasco,rap,2007,65.0,musicon_v2,energetic,7,0.5487804878048781,0.8189216683621567,0.7797202797202796,0.4078947368421052,0.2090909090909091,0.0,0.4767676767676768,0.3265536723163842,289000.0,-1.0,-1.0
I Don'T Get Tired (#Idgt) (Feat. August Alsina),Kevin Gates,rap,2014,65.0,musicon_v2,dark,1,0.4600886917960088,0.6927772126144456,0.7937062937062935,0.180622009569378,0.0525252525252525,0.0,0.2909090909090909,0.5819209039548023,209707.0,-1.0,-1.0
Abusadamente,Mc Gustta,rap,2017,65.0,musicon_v2,energetic,7,0.6740576496674058,0.641912512716175,0.867132867132867,0.1543062200956937,0.8202020202020203,0.0021413276231263,0.3929292929292929,0.4836158192090395,215938.0,-1.0,-1.0
Check,Young Thug,rap,2015,65.0,musicon_v2,energetic,7,0.6541019955654102,0.5737538148524924,0.8076923076923076,0.3624401913875598,0.0434343434343434,0.0,0.3717171717171717,0.4180790960451978,230693.0,-1.0,-1.0
Raining Blood,Slayer,metal,0,65.0,spotify_114k,dark,1,0.227,0.995,-4.361,0.173,0.000405,0.393,0.0363,87.499,255186.0,10.0,0.0
Aqualung,Jethro Tull,rock,1971,65.0,musicon_v2,happy,5,0.4434589800443459,0.4699898270600203,0.5734265734265733,0.0334928229665071,0.0656565656565656,0.0310492505353319,0.6686868686868688,0.4830508474576271,396187.0,-1.0,-1.0
Give Me A Reason,Jillian Rossi,songwriter,0,65.0,spotify_114k,energetic,7,0.33,0.658,-5.551,0.0929,0.31,7.37e-05,0.142,194.98,135306.0,9.0,1.0
Each Time You Fall in Love,Cigarettes After Sex,indie,0,65.0,spotify_114k,nostalgic,3,0.378,0.533,-8.843,0.0279,0.479,0.508,0.285,75.927,290630.0,10.0,1.0
Bad Romance,Halestorm,metal,0,65.0,spotify_114k,happy,5,0.545,0.927,-4.736,0.0706,0.0128,2.33e-06,0.682,124.061,248400.0,1.0,1.0
Parasite Eve,Bring Me The Horizon,metal,0,65.0,spotify_114k,energetic,7,0.589,0.797,-5.464,0.15,0.0289,4.35e-06,0.232,102.489,291812.0,9.0,1.0
Eruption - 2015 Remaster,Van Halen,metal,0,65.0,spotify_114k,happy,5,0.225,0.689,-9.12,0.0555,0.469,0.813,0.5,93.798,102080.0,8.0,1.0
Disenchanted,My Chemical Romance,punk,0,65.0,spotify_114k,dark,1,0.343,0.692,-3.926,0.0355,0.00218,0.0,0.153,174.07,295000.0,2.0,1.0
absolute in doubt,Lil Peep;Wicca Phase Springs Eternal,emo,0,65.0,spotify_114k,dark,1,0.733,0.655,-7.574,0.0472,0.0246,0.0,0.265,138.023,227066.0,4.0,0.0
All Night,Brando,deep-house,0,65.0,spotify_114k,happy,5,0.769,0.696,-5.363,0.0316,0.0852,1.17e-06,0.558,119.992,173251.0,5.0,0.0
El Chivo (Feat. T3R Elemento),Berner,rap,2019,65.0,musicon_v2,energetic,7,0.5022172949002217,0.8250254323499492,0.7797202797202796,0.1363636363636363,0.2171717171717171,0.0,0.4757575757575758,0.8644067796610171,275401.0,-1.0,-1.0
Asleep - 2011 Remaster,The Smiths,punk-rock,0,65.0,spotify_114k,nostalgic,3,0.512,0.255,-15.867,0.0291,0.88,0.532,0.215,115.144,253560.0,0.0,1.0
Every Breath You Take,Deep Chills,deep-house,0,65.0,spotify_114k,happy,5,0.78,0.573,-8.545,0.038,0.249,0.245,0.671,119.973,198058.0,0.0,1.0
Gunehgar,DIVINE,hip-hop,0,65.0,spotify_114k,happy,5,0.643,0.906,-4.15,0.31,0.105,0.0,0.541,94.259,163404.0,1.0,1.0
Superbeast,Rob Zombie,industrial,0,65.0,spotify_114k,energetic,7,0.518,0.975,-4.425,0.0575,0.000136,0.827,0.32,154.059,220266.0,8.0,1.0
Ara,Zeynep Bastık,turkish,0,65.0,spotify_114k,energetic,7,0.621,0.674,-5.777,0.0472,0.241,0.00182,0.304,163.917,180226.0,0.0,0.0
Runaway,Linkin Park,metal,0,65.0,spotify_114k,energetic,7,0.636,0.884,-4.743,0.0584,0.0142,0.0,0.446,109.16,183973.0,7.0,1.0
Manto Estelar,Mœnia,pop,1999,65.0,musicon_v2,energetic,7,0.5687361419068736,0.7955239064089523,0.7587412587412586,0.0179425837320574,0.1828282828282828,0.0,0.3292929292929293,0.4011299435028249,253000.0,-1.0,-1.0
Vicinity Of Obscenity,System Of A Down,metal,0,65.0,spotify_114k,happy,5,0.546,0.957,-3.189,0.164,0.0533,3.37e-06,0.514,109.775,171800.0,1.0,1.0
Wasted,Anirudh Ravichander,hip-hop,0,65.0,spotify_114k,euphoric,6,0.651,0.827,-5.108,0.0319,0.00162,0.0902,0.851,114.918,182608.0,10.0,0.0
If I Can'T,50 Cent,rap,2003,65.0,musicon_v2,happy,5,0.8968957871396894,0.619532044760936,0.902097902097902,0.3074162679425837,0.2676767676767677,0.0,0.8646464646464647,0.3220338983050848,196627.0,-1.0,-1.0
Steady Mobbin,Young Money,rap,2009,65.0,musicon_v2,happy,5,0.4556541019955653,0.6856561546286877,0.7062937062937062,0.3098086124401913,0.0222222222222222,0.0,0.7040404040404041,0.6728813559322034,310733.0,-1.0,-1.0
Twinz (Deep Cover 98) (Feat. Fat Joe),Big Pun,rap,1999,65.0,musicon_v2,happy,5,0.6164079822616407,0.7599186164801629,0.7377622377622377,0.3624401913875598,0.3232323232323232,0.0,0.5272727272727273,0.3276836158192091,228173.0,-1.0,-1.0
Hard In Da Paint,Waka Flocka Flame,rap,2010,65.0,musicon_v2,happy,5,0.5920177383592018,0.65412004069176,0.7832167832167831,0.0765550239234449,0.2,0.0,0.5888888888888889,0.1949152542372881,246387.0,-1.0,-1.0
Get Free,The Vines,garage,0,65.0,spotify_114k,happy,5,0.502,0.978,-3.278,0.0649,0.000163,1.27e-06,0.603,138.811,126573.0,7.0,1.0
London's Song,Matt Hartke,indie,0,65.0,spotify_114k,nostalgic,3,0.562,0.266,-14.852,0.0409,0.928,0.000626,0.493,88.968,178573.0,4.0,1.0
Louie Louie,The Kingsmen,garage,0,65.0,spotify_114k,euphoric,6,0.623,0.709,-9.818,0.0636,0.102,0.0,0.948,122.394,165381.0,1.0,0.0
Interstellar,Arbour,rap,2019,65.0,musicon_v2,melancholic,0,0.6031042128603105,0.1424211597151576,0.458041958041958,0.0956937799043062,0.5303030303030304,0.8779443254817987,0.1252525252525252,0.2146892655367231,164800.0,-1.0,-1.0
Daylight,Matt And Kim,pop,2009,65.0,musicon_v2,happy,5,0.5465631929046563,0.7945066124109869,0.818181818181818,0.0143540669856459,0.103030303030303,0.0,0.6777777777777778,0.3745762711864406,171333.0,-1.0,-1.0
Rest My Chemistry,Interpol,rock,2007,65.0,musicon_v2,energetic,7,0.4356984478935698,0.8758901322482198,0.7937062937062935,0.0215311004784688,0.0181818181818181,0.0899357601713062,0.4272727272727273,0.6389830508474577,301093.0,-1.0,-1.0
He Could Be The One,Hannah Montana,pop,2009,65.0,musicon_v2,happy,5,0.582039911308204,0.8921668362156665,0.8496503496503496,0.0143540669856459,0.002020202020202,0.0,0.6494949494949496,0.5028248587570622,180800.0,-1.0,-1.0
Feel Good,Felix Jaehn,pop,2018,65.0,musicon_v2,euphoric,6,0.6929046563192904,0.9013224821973552,0.853146853146853,0.0215311004784688,0.1222222222222222,0.0,0.6666666666666667,0.5022598870056498,166947.0,-1.0,-1.0
